scenario,seed,model,acc,fit,pred,arity,n_features,noise
4-way XOR / 12 feat,13,LogisticRegression,0.5025,1.1153030418790877,0.0005005826242268085,4,12,0.0
4-way XOR / 12 feat,13,RandomForest(500),0.6165,2.6264571249485016,0.050718958023935556,4,12,0.0
4-way XOR / 12 feat,13,GradientBoosting(300),0.5165,9.598433333914727,0.005841708742082119,4,12,0.0
4-way XOR / 12 feat,13,XGBoost(500),0.9135,1.0303457919508219,0.0034655830822885036,4,12,0.0
4-way XOR / 12 feat,13,MLP(256-128-64),0.875,9.324057832825929,0.0019855420105159283,4,12,0.0
4-way XOR / 12 feat,13,"SVM(poly,d=6)",0.743,0.5113036250695586,0.10563737479969859,4,12,0.0
4-way XOR / 12 feat,13,WSRF,0.9855,4.575233374722302,0.01937037520110607,4,12,0.0
4-way XOR / 12 feat,31,LogisticRegression,0.518,0.9191457089036703,0.0002892501652240753,4,12,0.0
4-way XOR / 12 feat,31,RandomForest(500),0.572,1.8802217920310795,0.05205662501975894,4,12,0.0
4-way XOR / 12 feat,31,GradientBoosting(300),0.5075,9.64692366681993,0.00594183336943388,4,12,0.0
4-way XOR / 12 feat,31,XGBoost(500),0.9775,0.9500034167431295,0.003938916139304638,4,12,0.0
4-way XOR / 12 feat,31,MLP(256-128-64),0.8875,9.695607082918286,0.00197033304721117,4,12,0.0
4-way XOR / 12 feat,31,"SVM(poly,d=6)",0.727,0.5113684167154133,0.104759749956429,4,12,0.0
4-way XOR / 12 feat,31,WSRF,0.982,4.139585124794394,0.018922457937151194,4,12,0.0
4-way XOR / 12 feat,47,LogisticRegression,0.518,0.8962444174103439,0.00016304198652505875,4,12,0.0
4-way XOR / 12 feat,47,RandomForest(500),0.613,1.788489708211273,0.051272124983370304,4,12,0.0
4-way XOR / 12 feat,47,GradientBoosting(300),0.489,9.615128832869232,0.005624041892588139,4,12,0.0
4-way XOR / 12 feat,47,XGBoost(500),0.977,0.9563356251455843,0.0032011670991778374,4,12,0.0
4-way XOR / 12 feat,47,MLP(256-128-64),0.8845,9.79166074981913,0.0019220407120883465,4,12,0.0
4-way XOR / 12 feat,47,"SVM(poly,d=6)",0.729,0.5053355828858912,0.10507020819932222,4,12,0.0
4-way XOR / 12 feat,47,WSRF,0.9805,4.748646249994636,0.05291283316910267,4,12,0.0
4-way XOR / 12 feat,59,LogisticRegression,0.4985,0.9178603333421052,0.00017799995839595795,4,12,0.0
4-way XOR / 12 feat,59,RandomForest(500),0.5515,1.6761226672679186,0.050441292114555836,4,12,0.0
4-way XOR / 12 feat,59,GradientBoosting(300),0.4985,9.635323458816856,0.006374083925038576,4,12,0.0
4-way XOR / 12 feat,59,XGBoost(500),0.758,0.9614874999970198,0.003110999707132578,4,12,0.0
4-way XOR / 12 feat,59,MLP(256-128-64),0.895,9.87015604134649,0.001840915996581316,4,12,0.0
4-way XOR / 12 feat,59,"SVM(poly,d=6)",0.714,0.5133888749405742,0.10463766613975167,4,12,0.0
4-way XOR / 12 feat,59,WSRF,0.9285,4.302531583234668,0.027779874857515097,4,12,0.0
4-way XOR / 12 feat,71,LogisticRegression,0.495,0.013307875022292137,0.00011875014752149582,4,12,0.0
4-way XOR / 12 feat,71,RandomForest(500),0.6185,1.7285903333686292,0.051791041158139706,4,12,0.0
4-way XOR / 12 feat,71,GradientBoosting(300),0.4905,9.664936458226293,0.005230666138231754,4,12,0.0
4-way XOR / 12 feat,71,XGBoost(500),0.8935,0.9894416672177613,0.003443082794547081,4,12,0.0
4-way XOR / 12 feat,71,MLP(256-128-64),0.894,8.640424583107233,0.0018294998444616795,4,12,0.0
4-way XOR / 12 feat,71,"SVM(poly,d=6)",0.7405,0.5057431249879301,0.1048281672410667,4,12,0.0
4-way XOR / 12 feat,71,WSRF,0.9865,4.677517249714583,0.03555062506347895,4,12,0.0
5-way XOR / 16 feat,13,LogisticRegression,0.504,0.011258542072027922,0.0001293751411139965,5,16,0.0
5-way XOR / 16 feat,13,RandomForest(500),0.5005,2.156459374818951,0.061394792050123215,5,16,0.0
